713838102.6539059,-792,84,17408
1713838102.756591,-900,-80,17676
1713838102.8592565,-820,-48,17604
1713838102.96189,-1728,-1848,17348
1713838103.064527,952,-1216,15268
1713838103.1671584,-6168,-872,13104
1713838103.2698395,-10728,-3556,21788
1713838103.3724835,-6268,-3204,18656
1713838103.4751186,-3700,-1196,13720
1713838103.5777397,-7960,-3412,15704
1713838103.680374,-13004,4552,19304
1713838103.782999,-7060,1028,27920
1713838103.8856194,840,-3748,14768
1713838103.9882512,-8124,1708,23408
1713838104.090875,-10648,6108,13952
1713838104.1934996,-5312,3168,15788
1713838104.2961257,-6456,716,15668
1713838104.3987556,-5612,3036,18172
1713838104.501381,-1160,3272,18240
1713838104.604014,136,6056,14976
1713838104.7066424,-1180,484,18528
1713838104.8092692,-1948,3312,16952
1713838104.9119403,-1816,1912,18212
1713838105.014591,-1620,2812,17032
