1713836641.2169704,-9464,11180,-7540
1713836641.3195927,-9124,11092,-7244
1713836641.422193,-9208,10840,-7128
1713836641.524787,-9480,9644,-7544
1713836641.6273766,-9256,10996,-9264
1713836641.72997,-10912,11892,-9544
1713836641.832592,-11248,11248,-9372
1713836641.9351969,-10148,8652,-7544
1713836642.0377824,-9100,6340,-6764
1713836642.1403751,-8944,7508,-6832
1713836642.2429645,-9832,10480,-3592
1713836642.3455808,-8448,12148,244
1713836642.4481738,-9448,13512,1984
1713836642.5507667,-9380,13612,3352
1713836642.6533782,-9040,13924,4076
1713836642.7559922,-8624,13776,4168
1713836642.858652,-9348,13960,3960
1713836642.961304,-8844,13332,4024
1713836643.0639617,-8752,12980,3372
1713836643.166638,-8872,13776,4260
1713836643.2692702,-8896,13624,4280
1713836643.3718913,-8768,13640,4344
1713836643.474507,-8668,13864,4504
1713836643.5771635,-8548,13904,4672
1713836643.679806,-8272,14620,4928
1713836643.7824297,-7672,13900,5260
1713836643.8850794,-7772,12956,4480
1713836643.9877107,-8020,12284,2028
1713836644.0903308,-9116,12480,564
1713836644.1929445,-10008,12100,-1688
1713836644.295562,-9540,11996,-2996
1713836644.3981767,-10028,11484,-3100
1713836644.500796,-9580,12528,-2800
1713836644.6034112,-8424,12316,-2720
1713836644.7060587,-9076,12672,-3008
1713836644.808679,-12884,20416,-6876
1713836644.9113405,-10316,17424,-6312
1713836645.0140288,-9700,10960,-6612
1713836645.1167212,-9488,12424,-4620
1713836645.219384,-9204,12208,-4720
1713836645.322007,-9316,12156,-4740
1713836645.42467,-9008,11888,-3828
1713836645.5273256,-9280,12312,-4008
1713836645.629943,-9464,12096,-4936
