1713841227.6195114,-1148,-460,19040
1713841227.722138,-932,-276,17904
1713841227.8247972,-416,1092,18872
1713841227.927429,-6324,-6068,32132
1713841228.0300229,-3856,3772,-788
1713841228.132607,-924,1272,21080
1713841228.2352154,-3524,5656,14080
1713841228.3378537,-3984,5596,17512
1713841228.4404998,-3480,5956,16332
1713841228.543136,-2800,5816,15560
1713841228.6457725,-2732,4884,16924
1713841228.7484124,-2508,5768,16852
1713841259.1612253,-756,-32,18172
1713841259.2639086,-832,-48,17956
1713841259.3665798,-708,-80,17636
1713841259.4692588,-2888,-196,19372
1713841259.5719194,-1972,-336,17600
1713841259.6745706,-5304,-3932,20484
1713841259.7772129,-7376,7576,1500
1713841259.8798862,636,-1276,21120
1713841259.9825597,-5196,5560,13348
1713841260.0852172,-2940,3380,19160
1713841260.1878781,-3516,4508,17152
1713841260.290518,-3380,4800,15204
1713841260.3931584,-2764,3744,18248
