1713835925.9614558,0,0,0
1713835926.0641174,-11796,-3192,9532
1713835926.166746,-9232,1140,11268
1713835926.2693732,32768,-4636,32768
1713835926.3720021,-13580,6996,9900
1713835926.47463,-12100,-1444,8972
1713835926.5772552,-20164,1540,-3652
1713835926.6798902,32768,-3668,17484
1713835926.7825093,4912,32767,32767
1713835926.8851426,32768,-3008,10056
1713835926.987763,9328,9340,8768
1713835927.0903869,-22496,5148,8148
1713835927.1930017,-15020,7380,8784
1713835927.2956104,-8708,6496,9248
1713835927.3982377,-7512,8732,8520
1713835955.5088813,-17224,820,1968
1713835955.6115215,-15524,2812,3104
1713835955.7141235,-18576,916,3720
1713835955.816727,-17064,-10580,-6324
1713835955.9193287,-13504,916,-296
1713835956.021922,-13356,-11052,11188
1713835956.124526,-15980,20312,32768
1713835956.2271235,-28840,32767,32767
1713835956.3297148,-9908,15088,10092
1713835956.4323022,-15216,7392,10076
1713835956.5348904,-31672,-1656,10656
1713835956.637511,-12724,5548,8860
1713835956.7401104,-7968,16208,8820
1713835956.842727,-10580,5744,10460
1713835956.9453475,-8984,4628,9692
1713835957.047962,-11924,4908,11700
1713835995.6764169,-12720,6656,8628
1713835995.779073,-11644,6640,9888
1713835995.881713,-9424,6592,13296
1713835995.9843285,-10176,6048,8504
1713835996.0869486,-20308,3408,3100
1713835996.1895707,-29784,11864,32768
1713835996.2921932,23148,-27564,17572
1713835996.3948317,-988,2016,4836
1713835996.4974544,32768,-7944,21336
1713835996.6000674,-4280,8872,9536
1713835996.7026823,-9256,7252,11288
1713835996.8053043,-11368,7112,13164
1713835996.90793,-8892,6420,12616
1713835997.0105517,-10192,6212,13064
1713835997.113174,-9732,7028,12264
1713836145.6505163,-4380,15192,3568
1713836145.753175,-4820,15620,3436
1713836145.855811,-4112,15744,4080
1713836145.958445,-4288,15932,2892
1713836146.0610645,-1488,16784,4080
1713836146.1636958,-9808,17272,900
1713836146.2663271,-7068,16652,3068
1713836146.3689678,-484,9184,3716
1713836146.4715955,1544,13008,400
1713836146.5742202,1688,17684,856
1713836146.6768963,8540,18352,816
1713836146.779658,9080,15600,528
1713836146.882367,7332,12852,-592
1713836146.9851117,7412,17020,-132
1713836147.0878465,8448,17148,1180
1713836147.1906097,7564,14660,-92
1713836147.2933471,4988,14560,-68
1713836147.396099,8564,14924,-20
1713836147.498836,6352,15156,1508
1713836147.6015854,696,15656,2600
1713836147.7043278,2888,13780,1200
1713836147.8070793,1800,18032,-172
1713836147.909829,-2816,18428,300
1713836148.0125935,-2080,11628,1412
1713836148.1153636,-6448,14832,3256
1713836148.2181098,-8560,13264,6680
1713836148.3208537,-12816,9288,3392
1713836148.4236019,-13620,4292,2164
1713836148.5263643,-1060,10184,892
1713836148.6290624,-4840,16064,2736
1713836148.7318096,-6588,13744,2340
1713836187.10291,32768,15960,-220
1713836187.2056048,-8312,14828,1236
1713836187.308291,-10368,13396,4904
1713836187.4110062,-29724,16400,5592
1713836187.5137036,-6180,10116,5732
1713836187.6164005,-1524,-5544,-84
1713836187.719093,30520,32767,-15552
1713836187.8219452,-15100,32767,804
1713836187.924672,11160,21696,-2292
1713836188.0273213,6656,-1820,-308
1713836188.129945,14844,21836,-7740
1713836188.2325675,6796,28416,472
1713836188.3351762,16268,15396,-1248
1713836188.4378157,10616,8944,-1016
1713836188.5404503,5536,19512,-152
1713836188.6430724,8028,18040,2056
1713836188.7456853,11516,9808,1548
1713836188.8483446,6004,13476,788
1713836188.9510007,4984,17796,1048
1713836189.053633,11196,15196,1020
1713836189.1562512,7072,13708,2212
1713836189.2588582,3308,17860,1424
1713836189.3614872,5848,16652,104
1713836189.4641123,4616,16080,1736
1713836189.5667374,-6196,7276,5796
1713836189.6693482,-5660,10240,1812
1713836189.7719598,2416,32767,-7688
1713836189.8746297,3572,6960,-288
1713836189.977282,23520,-1492,-8380
1713836190.079904,-7572,15756,1216
1713836190.1825116,-7044,14448,2664
1713836190.2851524,-5564,15156,4344
1713836190.3877828,-5624,15316,4556
1713836190.4904106,-6200,15012,3908
1713836190.59303,-6328,14964,3532
1713836190.6956344,-6420,14960,3672
1713836190.7982438,-6116,15092,3824
1713836190.9010136,-6192,15316,3928
