mean_x,std_x,max_x,min_x,fft_peak_x,gesture
-0.7134243861480019,0.3302114289006318,-0.37979623513376687,-1.1932014681293772,5.707395089184016,bellingham
-0.5779616135741581,0.4878175927074359,-0.007666484026037898,-1.1932014681293772,4.623692908593265,bellingham
-0.04852532494158247,0.4549557644979734,0.721506676928296,-0.7770698883433694,1.6950244608389016,bellingham
0.4526240738263853,0.4992082060930575,1.1904404511282383,-0.4690570875954181,3.620992590611083,bellingham
0.4579671530230334,0.48238015545716545,1.1904404511282383,-0.4099689176560152,3.663737224184268,bellingham
0.49301146657751965,2.3374619055932158,6.033155995949089,-1.5137862199282652,6.9667804671247,bellingham
0.4464952476890536,2.3555453936037782,6.033155995949089,-1.5137862199282652,7.287208639549653,bellingham
-0.10148466874365367,0.4181815790258555,0.8711128944344437,-0.3735102596082985,1.601545804642075,bellingham
-0.4259981552459595,0.17622238176346863,-0.1975029448951834,-0.626206475732128,3.4079852419676766,bellingham
-0.7853988059146151,0.29767505261258037,-0.5646039155825376,-1.3478364660558997,6.283190447316921,bellingham
-0.664079478273075,0.44821603061973825,-0.045382337178848264,-1.3478364660558997,5.3126358261846,bellingham
-0.2895924863432954,0.21570933997318886,-0.045382337178848264,-0.7657551323975264,2.3167398907463634,bellingham
-0.17785927137809468,0.18431518787859982,0.12559619711389208,-0.3722530645032048,1.4228741710247574,bellingham
-0.2683773189448395,0.3190608304905923,0.12559619711389208,-0.7230104988243412,2.1470185515587166,bellingham
-0.236161694376814,0.6314069425828008,1.175354109867114,-0.7230104988243412,2.4200643306295637,bellingham
-0.4344842222053419,0.7007783823988343,1.175354109867114,-0.9945646415245759,3.475873777642735,bellingham
