
1713841390.1961796,-864,140,17428
1713841390.298825,-900,188,18140
1713841390.4014313,844,-948,17504
1713841390.5040257,-2096,2752,17684
1713841390.6066427,-1576,-1140,17288
1713841390.709244,-60,-956,18112
1713841390.8118365,-544,248,19516
1713841390.9144888,-5712,-3932,31152
1713841391.0171204,-5824,1444,5772
1713841391.119713,4152,280,11592
1713841391.2223008,-2748,6608,16196
1713841391.3249106,-3272,7100,17424
1713841391.4275036,-1948,5988,15372
1713841391.5301256,-1376,4920,17076
1713841391.632724,-696,4192,17616
1713841391.7353125,-1440,4444,16708
